 Date,Line,Distance,Temp
1/2/10,307,0.413,21.6
1/2/10,307,0.413,21.6
1/2/10,307,0.413,21.6
1/2/10,307,0.478,21.6
1/2/10,307,0.506,21.6
1/2/10,307,0.513,21.6
1/2/10,307,0.531,21.6
1/2/10,307,0.618,21.6
1/2/10,307,0.676,21.6
1/2/10,307,0.698,21.6
1/2/10,307,0.710,21.6
1/2/10,307,0.729,21.6
1/2/10,307,0.754,21.6
1/2/10,307,0.764,21.6
1/2/10,307,0.767,21.6
1/2/10,307,0.770,21.6
12/10/09,307,0.820,20.4
1/2/10,307,0.835,21.6
1/2/10,307,0.865,21.6
12/10/09,307,0.892,20.4
1/2/10,307,0.909,21.6
1/2/10,307,0.911,21.6
1/2/10,307,0.917,21.6
1/2/10,307,0.929,21.6
1/2/10,307,0.967,21.6
11/18/09,307,0.992,21.8
1/2/10,307,1.051,21.6
12/10/09,307,1.060,20.4
1/2/10,307,1.062,21.6
11/18/09,307,1.067,21.8
12/10/09,307,1.172,20.3
12/10/09,307,1.274,20.4
12/10/09,307,1.278,20.4
12/10/09,307,1.283,20.3
1/2/10,307,1.306,21.6
1/2/10,307,1.399,21.6
12/10/09,307,1.430,21.3
12/10/09,307,1.575,20.3
12/10/09,307,1.728,20.3
12/10/09,307,1.735,20.4
12/10/09,307,1.768,20.3
12/10/09,307,1.782,20.3
12/10/09,307,1.817,20.3
12/10/09,307,1.836,20.3
1/2/10,307,2.193,21.6
12/10/09,307,2.202,20.4
1/2/10,307,2.455,21.6
1/2/10,307,2.606,21.6
12/10/09,307,2.905,20.3
12/10/09,307,3.677,20.3
12/10/09,307,4.430,20.3
12/10/09,307,4.443,20.3
1/2/10,307,4.462,21.6
1/2/10,307,5.499,21.6
1/2/10,307,6.590,21.6
1/2/10,307,7.417,21.6
12/10/09,313,0.501,20.3
12/10/09,313,0.570,21.3
12/10/09,313,0.591,21.4
12/10/09,313,0.691,21.3
12/10/09,313,0.723,20.3
12/10/09,313,0.798,20.3
12/10/09,313,0.991,20.3
12/10/09,313,1.253,21.3
12/10/09,313,1.404,20.3
12/10/09,313,1.818,20.3
12/10/09,313,2.059,21.3
12/10/09,313,2.097,20.3
12/10/09,313,2.569,20.3
12/10/09,313,2.799,20.3
12/10/09,313,3.222,20.3
12/10/09,313,3.256,21.4
12/10/09,313,3.539,21.3
12/10/09,313,3.663,20.3
12/10/09,313,3.767,21.4
12/10/09,313,4.223,20.3
12/10/09,313,4.648,20.3
12/10/09,313,4.887,20.3
12/10/09,313,4.889,20.3
12/10/09,313,4.889,20.3
12/10/09,313,4.959,20.3
12/10/09,313,4.977,20.3
12/10/09,313,5.232,21.3
12/10/09,313,5.420,21.4
12/10/09,313,5.467,20.3
12/10/09,313,5.479,20.3
12/10/09,313,5.567,20.3
12/10/09,313,5.621,21.3
12/10/09,313,5.908,20.3
12/10/09,313,5.921,20.3
12/10/09,313,6.010,20.3
12/10/09,313,6.509,20.3
12/10/09,313,6.697,21.3
12/10/09,313,6.867,20.3
12/10/09,313,6.979,21.4
12/10/09,313,7.529,20.3
12/10/09,313,7.642,20.3
12/10/09,313,8.182,21.4
12/10/09,313,8.191,21.3
12/10/09,313,8.363,21.4
12/10/09,313,8.377,20.3
12/10/09,313,8.586,21.4
12/10/09,313,8.687,20.3
12/10/09,313,8.740,20.3
12/10/09,313,8.775,20.3
12/10/09,313,8.880,21.4
12/10/09,313,9.009,21.3
12/10/09,313,9.143,20.3
12/10/09,313,9.336,20.3
12/10/09,313,10.014,21.3
12/10/09,313,10.130,21.4
12/10/09,313,10.938,21.3
12/10/09,313,11.741,21.4
12/10/09,313,12.288,21.4
1/2/10,315,0.364,21.7
1/2/10,315,0.485,21.6
1/2/10,315,0.680,21.7
1/2/10,315,0.681,21.6
1/2/10,315,0.838,21.6
1/2/10,315,0.847,21.6
1/2/10,315,0.870,21.6
1/2/10,315,0.979,21.6
1/11/10,315,0.980,22.8
1/2/10,315,0.982,21.6
1/2/10,315,0.986,21.7
1/2/10,315,0.993,21.7
1/11/10,315,1.039,22.8
1/2/10,315,1.050,21.6
1/2/10,315,1.073,21.7
1/2/10,315,1.098,21.7
1/2/10,315,1.112,21.6
1/11/10,315,1.148,22.8
1/11/10,315,1.155,22.8
1/11/10,315,1.169,22.8
1/2/10,315,1.295,21.6
1/2/10,315,1.322,21.6
1/2/10,315,1.328,21.7
1/11/10,315,1.363,22.8
1/11/10,315,1.426,22.7
1/11/10,315,1.489,22.7
1/2/10,315,1.617,21.6
1/11/10,315,1.634,22.8
1/11/10,315,1.638,22.8
1/2/10,315,1.705,21.7
1/11/10,315,1.738,22.8
1/2/10,315,1.981,21.7
1/11/10,315,2.006,22.8
1/11/10,315,2.186,22.7
1/11/10,315,2.462,22.8
1/11/10,315,2.554,22.8
1/11/10,315,3.204,22.8
1/11/10,315,3.352,22.7
1/11/10,315,3.593,22.7
1/11/10,315,4.246,22.8
1/11/10,315,4.267,22.7
1/11/10,315,4.517,22.8
1/11/10,315,5.027,22.8
1/11/10,315,5.199,22.8
1/11/10,315,5.288,22.7
1/11/10,315,5.782,22.7
1/11/10,315,6.008,22.8
1/11/10,315,6.290,22.8
1/2/10,315,6.489,21.7
1/11/10,315,6.944,22.8
1/11/10,315,9.058,22.7
1/11/10,315,9.191,22.7
12/15/09,324,0.344,21.7
1/2/10,324,0.369,21.7
12/10/09,324,0.394,20.1
12/15/09,324,0.400,21.7
12/15/09,324,0.489,21
12/10/09,324,0.605,20.1
12/21/09,324,0.768,21
12/15/09,324,0.847,21.7
12/10/09,324,0.878,20.1
1/2/10,324,0.879,21.7
1/2/10,324,0.922,21.7
1/2/10,324,0.980,21.7
12/10/09,324,0.997,20
1/2/10,324,1.012,21.7
12/15/09,324,1.162,21.7
1/2/10,324,1.195,21.7
12/10/09,324,1.323,20.1
1/2/10,324,1.327,21.7
1/2/10,324,1.494,21.7
12/15/09,324,1.568,21.7
1/2/10,324,1.571,21.7
12/10/09,324,1.587,20.1
12/10/09,324,1.687,20.1
12/10/09,324,1.794,20.1
12/10/09,324,1.862,20.1
1/2/10,324,1.912,21.7
12/10/09,324,2.028,20
12/10/09,324,2.255,20
1/2/10,324,2.363,21.7
12/10/09,324,2.415,20
1/2/10,324,2.428,21.7
12/15/09,324,2.511,21
12/21/09,324,2.689,21
12/10/09,324,2.784,20
12/15/09,324,2.914,21.7
12/15/09,324,3.281,21
12/10/09,324,3.340,20.1
12/10/09,324,3.405,20
12/15/09,324,3.698,21.7
12/10/09,324,3.734,20
12/10/09,324,3.813,20
12/10/09,324,3.858,20.1
