Day,Strain,Pathlength,Line
2,25177,5.668,304
2,25177,7.01,304
2,25177,6.882,304
2,25177,5.436,304
2,25177,4.606,304
2,25177,10.532,304
2,25177,6.452,304
2,25177,2.666,304
2,25177,7.254,304
2,25177,9.246,304
2,25177,6.742,304
2,25177,1.946,304
2,25177,6.986,304
2,25177,9.748,304
2,25177,9.886,304
2,25177,6.55,304
2,25177,6.766,304
2,25177,6.444,304
3,25177,5.604,304
3,25177,7.262,304
3,25177,8.48,304
3,25177,6.764,304
3,25177,9.162,304
3,25177,4.136,304
3,25177,6.936,304
3,25177,6.676,304
3,25177,4.726,304
3,25177,5.4,304
3,25177,4.348,304
3,25177,6.948,304
3,25177,3.2,304
3,25177,1.54,304
3,25177,5.978,304
3,25177,2.606,304
3,25177,1.67,304
3,25177,3.458,304
3,25177,1.052,304
3,25177,2.214,304
4,25177,4.288,304
4,25177,7.248,304
4,25177,5.52,304
4,25177,7.504,304
4,25177,7.378,304
4,25177,5.484,304
4,25177,4.06,304
4,25177,8.39,304
4,25177,3.724,304
4,25177,4.918,304
4,25177,6.064,304
4,25177,6.542,304
4,25177,6.782,304
4,25177,4.926,304
4,25177,6.268,304
4,25177,2.074,304
4,25177,6.478,304
4,25177,6.164,304
4,25177,5.572,304
4,25177,5.668,304
5,25177,6.306,304
5,25177,9.53,304
5,25177,10.876,304
5,25177,8.122,304
5,25177,8.092,304
5,25177,9.61,304
5,25177,5.822,304
5,25177,7.774,304
5,25177,6.086,304
5,25177,6.8,304
5,25177,7.2,304
5,25177,8.924,304
5,25177,4.6,304
5,25177,2.14,304
5,25177,6.336,304
5,25177,2.414,304
5,25177,5.052,304
5,25177,2.19,304
5,25177,1.712,304
5,25177,0.568,304
1,25179,7.574,307
1,25179,4.598,307
1,25179,6.424,307
1,25179,5.89,307
1,25179,4.116,307
1,25179,4.31,307
1,25179,5.15,307
1,25179,4.63,307
1,25179,8.998,307
1,25179,1.602,307
1,25179,6.824,307
1,25179,9.822,307
1,25179,6.86,307
1,25179,6.646,307
1,25179,3.748,307
1,25179,5.604,307
1,25179,8.984,307
1,25179,5.002,307
1,25179,4.156,307
1,25179,3.436,307
2,25179,6.068,307
2,25179,7.042,307
2,25179,8.848,307
2,25179,7.176,307
2,25179,5.432,307
2,25179,6.712,307
2,25179,6.332,307
2,25179,4.964,307
2,25179,6.882,307
2,25179,5.006,307
2,25179,6.272,307
2,25179,2.618,307
2,25179,5.802,307
2,25179,4.74,307
2,25179,5.566,307
2,25179,6.496,307
2,25179,4.288,307
2,25179,6.256,307
2,25179,4.202,307
2,25179,4.408,307
3,25179,8.442,307
3,25179,7.29,307
3,25179,5.664,307
3,25179,5.354,307
3,25179,5.664,307
3,25179,3.354,307
3,25179,5.408,307
3,25179,5.702,307
3,25179,6.822,307
3,25179,7.24,307
3,25179,5.13,307
3,25179,5.024,307
3,25179,6.012,307
3,25179,9.878,307
3,25179,8.18,307
3,25179,6.796,307
3,25179,3.122,307
3,25179,1.59,307
3,25179,3.864,307
3,25179,8.312,307
4,25179,5.742,307
4,25179,7.812,307
4,25179,5.98,307
4,25179,6.328,307
4,25179,5.494,307
4,25179,6.26,307
4,25179,2.4,307
4,25179,7.558,307
4,25179,3.714,307
4,25179,3.858,307
4,25179,6.966,307
4,25179,4.568,307
4,25179,6.508,307
4,25179,6.696,307
4,25179,4.834,307
4,25179,1.348,307
4,25179,5.092,307
4,25179,4.752,307
4,25179,5.534,307
4,25179,1.572,307
5,25179,6.364,307
5,25179,7.326,307
5,25179,5.59,307
5,25179,6.064,307
5,25179,7.538,307
5,25179,6.44,307
5,25179,4.918,307
5,25179,5.778,307
5,25179,6.464,307
5,25179,6.536,307
5,25179,4.894,307
5,25179,3.942,307
5,25179,4.174,307
5,25179,5.558,307
5,25179,6.968,307
5,25179,4.55,307
5,25179,4.748,307
5,25179,3.074,307
5,25179,1.828,307
5,25179,0.848,307
1,25180,8.172,313
1,25180,11.276,313
1,25180,10.384,313
1,25180,8.964,313
1,25180,7.66,313
1,25180,6.904,313
1,25180,5.72,313
1,25180,9.672,313
1,25180,3.858,313
1,25180,7.484,313
1,25180,7.038,313
1,25180,7.99,313
1,25180,8.702,313
1,25180,11.208,313
1,25180,2.618,313
1,25180,8.78,313
1,25180,7.188,313
1,25180,11.314,313
1,25180,10.444,313
1,25180,10.07,313
2,25180,10.676,313
2,25180,10.392,313
2,25180,6.708,313
2,25180,7.254,313
2,25180,8.988,313
2,25180,11.196,313
2,25180,7.972,313
2,25180,1.778,313
